movie_id,movie_title,movie_genre,movie_runtime,movie_year,date_release,cast_director,rating_personal,rating_IMDb,num_votes
tt1661199,Cinderella, romance,105,2015,2015-02-13,Kenneth Branagh,6,7.0,106140
tt0102926,The Silence of the Lambs, thriller,118,1991,1991-01-30,Jonathan Demme,6,8.6,899829
tt0455944,The Equalizer, thriller,132,2014,2014-09-07,Antoine Fuqua,4,7.2,233390
tt0119643,Meet Joe Black, romance,178,1998,1998-11-02,Martin Brest,6,7.1,170409
tt0258000,Panic Room, thriller,112,2002,2002-03-18,David Fincher,5,6.8,208061
tt2245084,Big Hero 6, sci_fi,102,2014,2014-10-23, Chris Williams,8,7.9,284848
tt2562232,Birdman or (The Unexpected Virtue of Ignorance), romance,119,2014,2014-08-27,Alejandro G. Iñárritu,7,7.8,403227
tt1837703,The Fifth Estate, thriller,128,2013,2013-09-05,Bill Condon,4,6.2,29664
tt2179136,American Sniper, war,133,2014,2014-11-11,Clint Eastwood,5,7.3,330264
tt2980516,The Theory of Everything, romance,123,2014,2014-09-07,James Marsh,5,7.7,271374
tt3374966,The Mafia Kills Only in Summer, crime,90,2013,2013-11-27,Pierfrancesco Diliberto,7,7.2,4464
tt0106918,The Firm, thriller,154,1993,1993-06-30,Sydney Pollack,6,6.8,89704
tt0816692,Interstellar, sci_fi,169,2014,2014-10-26,Christopher Nolan,7,8.6,949311
tt2004420,Neighbors,comedy,97,2014,2014-03-08,Nicholas Stoller,3,6.4,222077
tt2310332,The Hobbit: The Battle of the Five Armies, fantasy,144,2014,2014-12-01,Peter Jackson,8,7.5,360061
tt0993846,The Wolf of Wall Street, drama,180,2013,2013-12-17,Martin Scorsese,6,8.2,796208
tt0121765,Star Wars: Episode II - Attack of the Clones, sci_fi,142,2002,2002-05-12,George Lucas,7,6.7,469530
tt0117665,Sleepers, thriller,147,1996,1996-08-28,Barry Levinson,7,7.5,155670
tt2870708,Wish I Was Here, drama,106,2014,2014-01-18,Zach Braff,5,6.7,29835
tt1291150,Teenage Mutant Ninja Turtles, sci_fi,101,2014,2014-08-03,Jonathan Liebesman,2,5.9,170569
tt1790864,The Maze Runner, thriller,113,2014,2014-09-11,Wes Ball,6,6.8,316362
tt2872732,Lucy, thriller,89,2014,2014-07-25,Luc Besson,5,6.4,332213
tt0831387,Godzilla, thriller,123,2014,2014-05-08,Gareth Edwards,6,6.5,304074
tt2278388,The Grand Budapest Hotel, drama,99,2014,2014-02-06,Wes Anderson,8,8.1,485937
tt2109248,Transformers: Age of Extinction, sci_fi,165,2014,2014-06-19,Michael Bay,4,5.7,244857
tt1408101,Star Trek Into Darkness, sci_fi,132,2013,2013-05-02,J.J. Abrams,6,7.8,400669
tt1981115,Thor: The Dark World, sci_fi,112,2013,2013-10-22,Alan Taylor,7,7.1,419568
tt1245492,This Is the End, fantasy,107,2013,2013-06-03, Seth Rogen,3,6.7,313995
tt2557490,A Million Ways to Die in the West, western,116,2014,2014-05-15,Seth MacFarlane,5,6.1,137764
tt1213663,The World's End, sci_fi,109,2013,2013-07-10,Edgar Wright,5,7.0,188329
tt1979320,Rush, sport,123,2013,2013-09-02,Ron Howard,5,8.1,317552
tt1210819,The Lone Ranger, western,150,2013,2013-06-22,Gore Verbinski,4,6.5,183346
tt2140373,Saving Mr. Banks, music,125,2013,2013-10-20,John Lee Hancock,8,7.5,119057
tt1327773,Lee Daniels' The Butler, drama,132,2013,2013-08-05,Lee Daniels,6,7.2,88596
tt1234721,RoboCop, thriller,117,2014,2014-01-30,José Padilha,3,6.2,184523
tt0169547,American Beauty, romance,122,1999,1999-09-08,Sam Mendes,6,8.4,831983
tt1877832,X-Men: Days of Future Past, thriller,132,2014,2014-05-10,Bryan Singer,7,8.0,520365
tt1872181,The Amazing Spider-Man 2, sci_fi,142,2014,2014-04-10,Marc Webb,6,6.7,324862
tt1843866,Captain America: The Winter Soldier, sci_fi,136,2014,2014-03-13, Joe Russo,7,7.8,505670
tt1253863,300: Rise of an Empire, war,102,2014,2014-03-04,Noam Murro,6,6.2,227675
tt2234155,The Internship,comedy,119,2013,2013-05-29,Shawn Levy,5,6.3,161087
tt0116282,Fargo, thriller,98,1996,1996-03-08,Joel Coen,6,8.1,459946
tt1490017,The Lego Movie, fantasy,100,2014,2014-02-01, Christopher Miller,7,7.8,249537
tt1170358,The Hobbit: The Desolation of Smaug, fantasy,161,2013,2013-12-02,Peter Jackson,7,7.9,489133
tt0359950,The Secret Life of Walter Mitty, romance,114,2013,2013-10-05,Ben Stiller,8,7.3,238801
tt1535108,Elysium, thriller,109,2013,2013-08-07,Neill Blomkamp,5,6.6,341856
tt1650554,Kick-Ass 2, crime,103,2013,2013-08-14,Jeff Wadlow,7,6.6,205346
tt1821694,RED 2, thriller,116,2013,2013-07-18,Dean Parisot,6,6.7,126388
tt1980209,Pain & Gain, drama,129,2013,2013-04-11,Michael Bay,5,6.5,162677
tt0816711,World War Z, thriller,116,2013,2013-06-02,Marc Forster,8,7.0,470291
tt1663662,Pacific Rim, sci_fi,131,2013,2013-07-01,Guillermo del Toro,6,7.0,384717
tt0258463,The Bourne Identity, thriller,119,2002,2002-06-06,Doug Liman,7,7.9,414490
tt0944835,Salt, thriller,100,2010,2010-07-19,Phillip Noyce,5,6.4,247583
tt0372183,The Bourne Supremacy, thriller,108,2004,2004-07-16,Paul Greengrass,6,7.8,354353
tt0770828,Man of Steel, sci_fi,143,2013,2013-06-10,Zack Snyder,6,7.1,556614
tt0796366,Star Trek, sci_fi,127,2009,2009-04-06,J.J. Abrams,6,8.0,509545
tt2302755,Olympus Has Fallen, thriller,119,2013,2013-03-18,Antoine Fuqua,5,6.5,205703
tt1905041,Fast & Furious 6, thriller,130,2013,2013-05-07,Justin Lin,6,7.1,303936
tt1013752,Fast & Furious, thriller,107,2009,2009-03-12,Justin Lin,6,6.7,205663
tt0095705,The Naked Gun: From the Files of Police Squad!, crime,85,1988,1988-12-02,David Zucker,6,7.6,115978
tt1300854,Iron Man 3, sci_fi,130,2013,2013-04-18,Shane Black,7,7.2,563520
tt0119738,My Best Friend's Wedding, romance,105,1997,1997-06-20,P.J. Hogan,6,6.3,99234
tt0335438,Starsky & Hutch, crime,101,2004,2004-02-26,Todd Phillips,4,6.1,121461
tt0364725,Dodgeball: A True Underdog Story, sport,92,2004,2004-06-18,Rawson Marshall Thurber,6,6.7,186856
tt0454921,The Pursuit of Happyness, drama,117,2006,2006-12-15,Gabriele Muccino,5,8.0,343053
tt0380510,The Lovely Bones, thriller,135,2009,2009-11-24,Peter Jackson,5,6.7,126111
tt0343818,"I, Robot", thriller,115,2004,2004-07-15,Alex Proyas,5,7.1,392009
tt1409024,Men in Black 3, sci_fi,106,2012,2012-05-14,Barry Sonnenfeld,5,6.8,269868
tt0196229,Zoolander,comedy,90,2001,2001-09-28,Ben Stiller,4,6.6,202850
tt0448157,Hancock, fantasy,92,2008,2008-06-16,Peter Berg,3,6.4,347665
tt0120660,Enemy of the State, thriller,132,1998,1998-11-16,Tony Scott,8,7.3,189798
tt0481499,The Croods, fantasy,98,2013,2013-02-15, Chris Sanders,7,7.3,152314
tt0118972,The Devil's Own, thriller,111,1997,1997-03-13,Alan J. Pakula,5,6.1,46068
tt0095174,Frantic, thriller,120,1988,1988-02-16,Roman Polanski,6,6.9,39020
tt0408345,Firewall, thriller,105,2006,2006-02-02,Richard Loncraine,5,5.8,50395
tt1045658,Silver Linings Playbook, romance,122,2012,2012-09-08,David O. Russell,8,7.8,539282
tt0238380,Equilibrium, thriller,107,2002,2002-12-06,Kurt Wimmer,4,7.5,263526
tt0362227,The Terminal, romance,128,2004,2004-06-09,Steven Spielberg,7,7.3,307494
tt0118571,Air Force One, thriller,124,1997,1997-07-21,Wolfgang Petersen,5,6.4,147500
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull, fantasy,122,2008,2008-05-18,Steven Spielberg,6,6.2,336737
tt0106977,The Fugitive, thriller,130,1993,1993-07-29,Andrew Davis,6,7.8,215459
tt0186566,Space Cowboys, thriller,130,2000,2000-08-01,Clint Eastwood,3,6.4,60616
tt0161081,What Lies Beneath, thriller,130,2000,2000-07-21,Robert Zemeckis,5,6.6,99004
tt0122718,Small Soldiers, sci_fi,108,1998,1998-07-10,Joe Dante,4,6.1,77883
tt1623205,Oz the Great and Powerful, fantasy,130,2013,2013-02-14,Sam Raimi,6,6.4,176584
tt0404978,Gambit, crime,89,2012,2012-11-07,Michael Hoffman,4,5.7,18875
tt0209163,The Mummy Returns, thriller,130,2001,2001-04-29,Stephen Sommers,6,6.3,249735
tt0167190,Hellboy, sci_fi,122,2004,2004-03-30,Guillermo del Toro,5,6.8,246548
tt0386588,Hitch, romance,118,2005,2005-02-10,Andy Tennant,5,6.6,246988
tt0227538,Spy Kids, sci_fi,88,2001,2001-03-18,Robert Rodriguez,4,5.4,85065
tt0411477,Hellboy II: The Golden Army, sci_fi,120,2008,2008-06-28,Guillermo del Toro,6,7.0,209954
tt1250777,Kick-Ass, comedy,117,2010,2010-03-12,Matthew Vaughn,8,7.7,439974
tt0189584,The Big Kahuna, comedy,90,1999,1999-09-16,John Swanbeck,5,6.7,12144
tt0384680,The Weather Man, drama,102,2005,2005-10-20,Gore Verbinski,4,6.6,69553
tt0286244,The Triplets of Belleville, drama,78,2003,2003-05-18,Sylvain Chomet,6,7.8,42773
tt0327247,The Whole Ten Yards, thriller,98,2004,2004-04-07,Howard Deutch,5,5.5,46088
tt0218967,The Family Man, romance,125,2000,2000-12-12,Brett Ratner,6,6.7,86555
tt1302011,Kung Fu Panda 2, family,90,2011,2011-05-22,Jennifer Yuh Nelson,6,7.3,185464
tt0035423,Kate & Leopold, romance,118,2001,2001-12-11,James Mangold,6,6.4,65184
tt1277953,Madagascar 3: Europe's Most Wanted, family,93,2012,2012-05-18, Tom McGrath,4,6.9,120600
tt1038919,The Bounty Hunter, romance,110,2010,2010-03-17,Andy Tennant,4,5.5,97617
tt0082158,Chariots of Fire, sport,125,1981,1981-03-30,Hugh Hudson,6,7.2,40987
tt0251160,John Q, thriller,116,2002,2002-02-15,Nick Cassavetes,6,7.0,99778
tt0118998,Doctor Dolittle, fantasy,85,1998,1998-06-13,Betty Thomas,4,5.3,75012
tt0947810,Green Zone, war,115,2010,2010-02-26,Paul Greengrass,5,6.9,111213
tt0479952,Madagascar: Escape 2 Africa, family,89,2008,2008-10-30, Tom McGrath,6,6.7,147993
tt0265459,One Hour Photo, thriller,96,2002,2002-01-13,Mark Romanek,6,6.8,98580
tt0251075,Evolution, sci_fi,101,2001,2001-06-08,Ivan Reitman,3,6.0,103028
tt0343135,Along Came Polly, romance,90,2004,2004-01-12,John Hamburg,5,5.9,107581
tt0081573,Superman II, sci_fi,127,1980,1980-12-04,Richard Lester,6,6.8,77248
tt0970866,Little Fockers, romance,98,2010,2010-12-22,Paul Weitz,5,5.5,86298
tt0129290,Patch Adams, romance,115,1998,1998-10-21,Tom Shadyac,5,6.7,81473
tt1080016,Ice Age: Dawn of the Dinosaurs, family,94,2009,2009-06-26, Mike Thurmeier,6,7.0,168784
tt0086393,Superman III, sci_fi,125,1983,1983-06-17,Richard Lester,5,4.9,50570
tt0107798,The Pelican Brief, thriller,141,1993,1993-12-17,Alan J. Pakula,6,6.5,60071
tt1067106,A Christmas Carol, fantasy,96,2009,2009-11-03,Robert Zemeckis,5,6.8,73526
tt1521197,Anonymous, thriller,130,2011,2011-09-11,Roland Emmerich,7,6.9,34729
tt0190138,The Whole Nine Yards, crime,98,2000,2000-02-17,Jonathan Lynn,7,6.7,90996
tt1007029,The Iron Lady, drama,105,2011,2011-12-26,Phyllida Lloyd,5,6.4,83232
tt0438097,Ice Age: The Meltdown, fantasy,91,2006,2006-03-29,Carlos Saldanha,5,6.9,196429
tt0120179,Speed 2: Cruise Control, thriller,121,1997,1997-06-13,Jan de Bont,2,3.7,61018
tt0181536,Finding Forrester,drama,136,2000,2000-12-20,Gus Van Sant,6,7.3,73384
tt0110989,Ri¢hie Ri¢h, family,95,1994,1994-12-21,Donald Petrie,5,5.2,50124
tt0119137,Flubber, sci_fi,93,1997,1997-11-16,Les Mayfield,4,5.2,64360
tt0110763,The Pagemaster, romance,80,1994,1994-11-23, Joe Johnston,4,5.9,16131
tt1430626,The Pirates! Band of Misfits, family,88,2012,2012-03-28, Jeff Newitt,6,6.7,37079
tt2467480,Il principe abusivo,comedy,NA,2013,2013-02-14,Alessandro Siani,5,5.4,1018
tt0111161,The Shawshank Redemption, drama,142,1994,1994-09-10,Frank Darabont,8,9.3,1711064
tt0468569,The Dark Knight, thriller,152,2008,2008-07-14,Christopher Nolan,9,9.0,1697804
tt0241527,Harry Potter and the Sorcerer's Stone, fantasy,152,2001,2001-11-04,Chris Columbus,6,7.5,450932
tt1375666,Inception, thriller,148,2010,2010-07-08,Christopher Nolan,8,8.8,1488280
tt0068646,The Godfather, drama,175,1972,1972-03-14,Francis Ford Coppola,8,9.2,1169641
tt1345836,The Dark Knight Rises, thriller,164,2012,2012-07-16,Christopher Nolan,9,8.5,1159211
tt0076759,Star Wars: Episode IV - A New Hope, sci_fi,121,1977,1977-05-25,George Lucas,8,8.7,921769
tt0088763,Back to the Future, sci_fi,116,1985,1985-07-03,Robert Zemeckis,8,8.5,742435
